"","Position","Enrichment","Type"
"197",96,9.3,"Inr-DPE"
"198",97,7.242,"Inr-DPE"
"199",98,8.579,"Inr-DPE"
"200",99,7.679,"Inr-DPE"
"201",100,9.11,"Inr-DPE"
"202",-100,4.47,"TATA-box"
"203",-99,5.047,"TATA-box"
"204",-98,5.073,"TATA-box"
"205",-97,4.845,"TATA-box"
"206",-96,4.811,"TATA-box"
"207",-95,4.333,"TATA-box"
"208",-94,5.245,"TATA-box"
"209",-93,5.357,"TATA-box"
"210",-92,5.542,"TATA-box"
"211",-91,4.812,"TATA-box"
"212",-90,4.213,"TATA-box"
"213",-89,4.26,"TATA-box"
"214",-88,3.888,"TATA-box"
"215",-87,4.324,"TATA-box"
"216",-86,4.565,"TATA-box"
"217",-85,5.253,"TATA-box"
"218",-84,5.524,"TATA-box"
"219",-83,5.774,"TATA-box"
"220",-82,5.909,"TATA-box"
"221",-81,6.075,"TATA-box"
"222",-80,5.099,"TATA-box"
"223",-79,5.595,"TATA-box"
"224",-78,4.715,"TATA-box"
"225",-77,4.622,"TATA-box"
"226",-76,5.029,"TATA-box"
"227",-75,4.305,"TATA-box"
"228",-74,4.477,"TATA-box"
"229",-73,4.485,"TATA-box"
"230",-72,4.796,"TATA-box"
"231",-71,5.083,"TATA-box"
"232",-70,5.864,"TATA-box"
"233",-69,6.955,"TATA-box"
"234",-68,6.251,"TATA-box"
"235",-67,7.907,"TATA-box"
"236",-66,7.866,"TATA-box"
"237",-65,8.506,"TATA-box"
"238",-64,9.081,"TATA-box"
"239",-63,8.801,"TATA-box"
"240",-62,7.406,"TATA-box"
"241",-61,8.652,"TATA-box"
"242",-60,7.266,"TATA-box"
"243",-59,7.422,"TATA-box"
"244",-58,7.476,"TATA-box"
"245",-57,8.096,"TATA-box"
"246",-56,9.875,"TATA-box"
"247",-55,11.01,"TATA-box"
"248",-54,11.86,"TATA-box"
"249",-53,11.25,"TATA-box"
"250",-52,12.15,"TATA-box"
"251",-51,12.96,"TATA-box"
"252",-50,13.32,"TATA-box"
"253",-49,11.96,"TATA-box"
"254",-48,12.77,"TATA-box"
"255",-47,13.18,"TATA-box"
"256",-46,13.64,"TATA-box"
"257",-45,12.4,"TATA-box"
"258",-44,12.55,"TATA-box"
"259",-43,12.45,"TATA-box"
"260",-42,12.41,"TATA-box"
"261",-41,12.96,"TATA-box"
"262",-40,14.16,"TATA-box"
"263",-39,14.85,"TATA-box"
"264",-38,16.82,"TATA-box"
"265",-37,17.93,"TATA-box"
"266",-36,20.63,"TATA-box"
"267",-35,20.26,"TATA-box"
"268",-34,19.85,"TATA-box"
"269",-33,21.31,"TATA-box"
"270",-32,23.03,"TATA-box"
"271",-31,26.75,"TATA-box"
"272",-30,27.16,"TATA-box"
"273",-29,29.94,"TATA-box"
"274",-28,33.24,"TATA-box"
"275",-27,31.3,"TATA-box"
"276",-26,30.02,"TATA-box"
"277",-25,25.78,"TATA-box"
"278",-24,24.52,"TATA-box"
"279",-23,22.66,"TATA-box"
"280",-22,25.08,"TATA-box"
"281",-21,25.8,"TATA-box"
"282",-20,26.53,"TATA-box"
"283",-19,27.5,"TATA-box"
"284",-18,28.18,"TATA-box"
"285",-17,28.91,"TATA-box"
"286",-16,31.86,"TATA-box"
"287",-15,34.88,"TATA-box"
"288",-14,39.22,"TATA-box"
"289",-13,40.64,"TATA-box"
"290",-12,47.05,"TATA-box"
"291",-11,56.64,"TATA-box"
"292",-10,65.63,"TATA-box"
"293",-9,75.66,"TATA-box"
"294",-8,89.14,"TATA-box"
"295",-7,109.1,"TATA-box"
"296",-6,138.3,"TATA-box"
"297",-5,175.1,"TATA-box"
"298",-4,224.2,"TATA-box"
"299",-3,279.1,"TATA-box"
"300",-2,340.8,"TATA-box"
"301",-1,387.7,"TATA-box"
"302",0,564.7,"TATA-box"
"303",1,389.5,"TATA-box"
"304",2,313.3,"TATA-box"
"305",3,250.2,"TATA-box"
"306",4,184.8,"TATA-box"
"307",5,129.5,"TATA-box"
"308",6,97.22,"TATA-box"
"309",7,74.49,"TATA-box"
"310",8,57.02,"TATA-box"
"311",9,46.11,"TATA-box"
"312",10,37.65,"TATA-box"
"313",11,31.31,"TATA-box"
"314",12,29.42,"TATA-box"
"315",13,26.46,"TATA-box"
"316",14,26.09,"TATA-box"
"317",15,24.89,"TATA-box"
"318",16,24.39,"TATA-box"
"319",17,24.33,"TATA-box"
"320",18,22.52,"TATA-box"
"321",19,22.11,"TATA-box"
"322",20,21.73,"TATA-box"
"323",21,20.89,"TATA-box"
"324",22,20.56,"TATA-box"
"325",23,21.32,"TATA-box"
"326",24,21.9,"TATA-box"
"327",25,23.22,"TATA-box"
"328",26,22.19,"TATA-box"
"329",27,20.79,"TATA-box"
"330",28,21.06,"TATA-box"
"331",29,23.51,"TATA-box"
"332",30,21.42,"TATA-box"
"333",31,20.87,"TATA-box"
"334",32,19.95,"TATA-box"
"335",33,17.9,"TATA-box"
"336",34,18.95,"TATA-box"
"337",35,17.59,"TATA-box"
"338",36,16.11,"TATA-box"
"339",37,15.59,"TATA-box"
"340",38,15.93,"TATA-box"
"341",39,16.58,"TATA-box"
"342",40,14.72,"TATA-box"
"343",41,15.07,"TATA-box"
"344",42,13.27,"TATA-box"
"345",43,13.24,"TATA-box"
"346",44,12.01,"TATA-box"
"347",45,12.87,"TATA-box"
"348",46,13.45,"TATA-box"
"349",47,12.63,"TATA-box"
"350",48,11.87,"TATA-box"
"351",49,12.03,"TATA-box"
"352",50,10.79,"TATA-box"
"353",51,10.83,"TATA-box"
"354",52,11.75,"TATA-box"
"355",53,11.22,"TATA-box"
"356",54,10.25,"TATA-box"
"357",55,10.11,"TATA-box"
"358",56,9.729,"TATA-box"
"359",57,9.347,"TATA-box"
"360",58,9.238,"TATA-box"
"361",59,10.58,"TATA-box"
"362",60,10.1,"TATA-box"
"363",61,9.81,"TATA-box"
"364",62,9.574,"TATA-box"
"365",63,10.76,"TATA-box"
"366",64,10.85,"TATA-box"
"367",65,9.8,"TATA-box"
"368",66,9.356,"TATA-box"
"369",67,8.952,"TATA-box"
"370",68,8.097,"TATA-box"
"371",69,8.473,"TATA-box"
"372",70,7.501,"TATA-box"
"373",71,7.308,"TATA-box"
"374",72,7.115,"TATA-box"
"375",73,6.341,"TATA-box"
"376",74,6.241,"TATA-box"
"377",75,5.938,"TATA-box"
"378",76,6.053,"TATA-box"
"379",77,5.531,"TATA-box"
"380",78,5.524,"TATA-box"
"381",79,5.572,"TATA-box"
"382",80,5.601,"TATA-box"
"383",81,5.982,"TATA-box"
"384",82,6.075,"TATA-box"
"385",83,6.09,"TATA-box"
"386",84,6.258,"TATA-box"
"387",85,6.153,"TATA-box"
"388",86,5.495,"TATA-box"
"389",87,6.496,"TATA-box"
"390",88,6.231,"TATA-box"
"391",89,5.965,"TATA-box"
"392",90,6.367,"TATA-box"
"393",91,6.353,"TATA-box"
"394",92,6.435,"TATA-box"
"395",93,5.273,"TATA-box"
"396",94,5.63,"TATA-box"
"397",95,4.94,"TATA-box"
"398",96,5.181,"TATA-box"
"399",97,5.088,"TATA-box"
"400",98,4.842,"TATA-box"
"401",99,5.946,"TATA-box"
"402",100,6.448,"TATA-box"
"403",-100,7.819,"Inr"
"404",-99,7.657,"Inr"
"405",-98,7.593,"Inr"
"406",-97,7.484,"Inr"
"407",-96,7.569,"Inr"
"408",-95,7.608,"Inr"
"409",-94,7.755,"Inr"
"410",-93,8.082,"Inr"
"411",-92,7.844,"Inr"
"412",-91,7.778,"Inr"
"413",-90,7.955,"Inr"
"414",-89,7.707,"Inr"
"415",-88,7.778,"Inr"
"416",-87,7.632,"Inr"
"417",-86,7.984,"Inr"
"418",-85,7.886,"Inr"
"419",-84,7.88,"Inr"
"420",-83,8.021,"Inr"
"421",-82,8.054,"Inr"
"422",-81,7.968,"Inr"
"423",-80,8.466,"Inr"
"424",-79,8.233,"Inr"
"425",-78,8.284,"Inr"
"426",-77,8.369,"Inr"
"427",-76,8.816,"Inr"
"428",-75,8.749,"Inr"
"429",-74,9.058,"Inr"
"430",-73,9.334,"Inr"
"431",-72,9.354,"Inr"
"432",-71,9.325,"Inr"
"433",-70,9.583,"Inr"
"434",-69,9.749,"Inr"
"435",-68,10.24,"Inr"
"436",-67,9.903,"Inr"
"437",-66,10.97,"Inr"
"438",-65,11.14,"Inr"
"439",-64,11.61,"Inr"
"440",-63,11.99,"Inr"
"441",-62,11.98,"Inr"
"442",-61,12.5,"Inr"
"443",-60,12.54,"Inr"
"444",-59,12.73,"Inr"
"445",-58,12.85,"Inr"
"446",-57,13.17,"Inr"
"447",-56,13.58,"Inr"
"448",-55,14.95,"Inr"
"449",-54,15.85,"Inr"
"450",-53,17.1,"Inr"
"451",-52,16.9,"Inr"
"452",-51,17.23,"Inr"
"453",-50,18.14,"Inr"
"454",-49,18.19,"Inr"
"455",-48,18.42,"Inr"
"456",-47,18.68,"Inr"
"457",-46,19.44,"Inr"
"458",-45,20.26,"Inr"
"459",-44,21.25,"Inr"
"460",-43,22.47,"Inr"
"461",-42,23.52,"Inr"
"462",-41,24.17,"Inr"
"463",-40,24.78,"Inr"
"464",-39,26.46,"Inr"
"465",-38,26.82,"Inr"
"466",-37,28.77,"Inr"
"467",-36,30.99,"Inr"
"468",-35,32.89,"Inr"
"469",-34,34.86,"Inr"
"470",-33,37.96,"Inr"
"471",-32,40.41,"Inr"
"472",-31,41.92,"Inr"
"473",-30,43.54,"Inr"
"474",-29,44.62,"Inr"
"475",-28,46.12,"Inr"
"476",-27,45.99,"Inr"
"477",-26,44.86,"Inr"
"478",-25,45.97,"Inr"
"479",-24,48.24,"Inr"
"480",-23,50.56,"Inr"
"481",-22,53.52,"Inr"
"482",-21,55.49,"Inr"
"483",-20,56.12,"Inr"
"484",-19,56.2,"Inr"
"485",-18,56.97,"Inr"
"486",-17,56.83,"Inr"
"487",-16,58.44,"Inr"
"488",-15,57.88,"Inr"
"489",-14,62.22,"Inr"
"490",-13,66.18,"Inr"
"491",-12,72.13,"Inr"
"492",-11,76.84,"Inr"
"493",-10,81.94,"Inr"
"494",-9,85.04,"Inr"
"495",-8,86.84,"Inr"
"496",-7,93.81,"Inr"
"497",-6,104.3,"Inr"
"498",-5,113.1,"Inr"
"499",-4,132,"Inr"
"500",-3,162.4,"Inr"
"501",-2,195.9,"Inr"
"502",-1,226.8,"Inr"
"503",0,437,"Inr"
"504",1,226.9,"Inr"
"505",2,172.1,"Inr"
"506",3,146.4,"Inr"
"507",4,120.1,"Inr"
"508",5,100.7,"Inr"
"509",6,91.5,"Inr"
"510",7,83.03,"Inr"
"511",8,75.49,"Inr"
"512",9,73.87,"Inr"
"513",10,72.26,"Inr"
"514",11,67.51,"Inr"
"515",12,62.75,"Inr"
"516",13,56.72,"Inr"
"517",14,53.28,"Inr"
"518",15,50.47,"Inr"
"519",16,51.58,"Inr"
"520",17,50.86,"Inr"
"521",18,51.43,"Inr"
"522",19,50.3,"Inr"
"523",20,49.95,"Inr"
"524",21,48.61,"Inr"
"525",22,46.54,"Inr"
"526",23,44.69,"Inr"
"527",24,42.4,"Inr"
"528",25,41.07,"Inr"
"529",26,43.02,"Inr"
"530",27,42.24,"Inr"
"531",28,41.88,"Inr"
"532",29,41.59,"Inr"
"533",30,39.6,"Inr"
"534",31,38.4,"Inr"
"535",32,35.47,"Inr"
"536",33,32.77,"Inr"
"537",34,31.76,"Inr"
"538",35,29.37,"Inr"
"539",36,27.65,"Inr"
"540",37,26.58,"Inr"
"541",38,24.8,"Inr"
"542",39,24.24,"Inr"
"543",40,24.01,"Inr"
"544",41,23.02,"Inr"
"545",42,20.89,"Inr"
"546",43,20.67,"Inr"
"547",44,19.04,"Inr"
"548",45,18.78,"Inr"
"549",46,18.38,"Inr"
"550",47,17.45,"Inr"
"551",48,17.8,"Inr"
"552",49,17.09,"Inr"
"553",50,17.01,"Inr"
"554",51,15.96,"Inr"
"555",52,15.44,"Inr"
"556",53,14.65,"Inr"
"557",54,14,"Inr"
"558",55,13.54,"Inr"
"559",56,12.86,"Inr"
"560",57,12.49,"Inr"
"561",58,12.05,"Inr"
"562",59,12.58,"Inr"
"563",60,12.04,"Inr"
"564",61,11.96,"Inr"
"565",62,11.67,"Inr"
"566",63,11.12,"Inr"
"567",64,10.81,"Inr"
"568",65,9.908,"Inr"
"569",66,9.746,"Inr"
"570",67,9.51,"Inr"
"571",68,8.869,"Inr"
"572",69,8.718,"Inr"
"573",70,8.665,"Inr"
"574",71,8.467,"Inr"
"575",72,8.522,"Inr"
"576",73,8.052,"Inr"
"577",74,7.928,"Inr"
"578",75,7.785,"Inr"
"579",76,7.576,"Inr"
"580",77,7.235,"Inr"
"581",78,7.295,"Inr"
"582",79,7.147,"Inr"
"583",80,6.916,"Inr"
"584",81,7.412,"Inr"
"585",82,7.204,"Inr"
"586",83,7.076,"Inr"
"587",84,7.065,"Inr"
"588",85,7.095,"Inr"
"589",86,7.033,"Inr"
"590",87,6.919,"Inr"
"591",88,6.752,"Inr"
"592",89,6.52,"Inr"
"593",90,6.891,"Inr"
"594",91,6.629,"Inr"
"595",92,6.878,"Inr"
"596",93,6.787,"Inr"
"597",94,6.513,"Inr"
"598",95,6.402,"Inr"
"599",96,6.252,"Inr"
"600",97,6.03,"Inr"
"601",98,6.18,"Inr"
"602",99,6.147,"Inr"
"603",100,6.567,"Inr"
