"","Position","Frequency","Type"
"42",-2.5,7.37730551,"Inr-DPE"
"43",-1.5,7.04907799,"Inr-DPE"
"44",-0.5,6.65833044,"Inr-DPE"
"45",0.5,9.73741817,"Inr-DPE"
"46",1.5,10.1750546,"Inr-DPE"
"47",2.5,6.90840864,"Inr-DPE"
"48",3.5,6.01750517,"Inr-DPE"
"49",4.5,5.07971239,"Inr-DPE"
"50",5.5,4.72022533,"Inr-DPE"
"51",6.5,7.18974686,"Inr-DPE"
"52",7.5,13.0040627,"Inr-DPE"
"53",8.5,16.7083454,"Inr-DPE"
"54",9.5,13.6136293,"Inr-DPE"
"55",10.5,9.94060612,"Inr-DPE"
"56",11.5,10.3157234,"Inr-DPE"
"57",12.5,13.2854013,"Inr-DPE"
"58",13.5,14.2857151,"Inr-DPE"
"59",14.5,13.504221,"Inr-DPE"
"60",15.5,11.6286335,"Inr-DPE"
"61",16.5,11.5192251,"Inr-DPE"
"62",17.5,14.2857151,"Inr-DPE"
"63",18.5,14.5201626,"Inr-DPE"
"64",19.5,12.0350103,"Inr-DPE"
"65",20.5,9.69052792,"Inr-DPE"
"66",21.5,8.31509781,"Inr-DPE"
"67",22.5,13.4417009,"Inr-DPE"
"68",23.5,14.6764622,"Inr-DPE"
"69",24.5,13.8480778,"Inr-DPE"
"70",25.5,13.6136293,"Inr-DPE"
"71",26.5,10.4563932,"Inr-DPE"
"72",27.5,10.5658016,"Inr-DPE"
"73",28.5,11.0972185,"Inr-DPE"
"74",29.5,12.3788681,"Inr-DPE"
"75",30.5,14.0200062,"Inr-DPE"
"76",31.5,10.9096594,"Inr-DPE"
"77",32.5,8.23694897,"Inr-DPE"
"78",33.5,9.25289154,"Inr-DPE"
"79",34.5,14.2700853,"Inr-DPE"
"80",35.5,18.6308212,"Inr-DPE"
"81",36.5,15.4892149,"Inr-DPE"
"82",37.5,12.0350103,"Inr-DPE"
"83",38.5,11.925602,"Inr-DPE"
"84",39.5,12.0037508,"Inr-DPE"
"85",40.5,13.3010311,"Inr-DPE"
"86",41.5,14.1919346,"Inr-DPE"
"87",42.5,14.8483906,"Inr-DPE"
"88",43.5,15.0359478,"Inr-DPE"
"89",44.5,13.6136293,"Inr-DPE"
"90",45.5,11.9412317,"Inr-DPE"
"91",46.5,11.6911535,"Inr-DPE"
"92",47.5,11.8318224,"Inr-DPE"
"93",48.5,11.7693033,"Inr-DPE"
"94",49.5,12.582056,"Inr-DPE"
"95",50.5,13.3166609,"Inr-DPE"
"96",51.5,13.1447334,"Inr-DPE"
"97",52.5,13.4417009,"Inr-DPE"
"98",53.5,13.1447334,"Inr-DPE"
"99",54.5,12.6602068,"Inr-DPE"
"100",55.5,12.3007193,"Inr-DPE"
"101",56.5,11.925602,"Inr-DPE"
"102",57.5,11.9412317,"Inr-DPE"
"103",58.5,11.1128483,"Inr-DPE"
"104",59.5,11.3629255,"Inr-DPE"
"105",60.5,11.2222567,"Inr-DPE"
"106",61.5,11.8005629,"Inr-DPE"
"107",62.5,11.7849331,"Inr-DPE"
"108",63.5,12.253829,"Inr-DPE"
"109",64.5,12.0350103,"Inr-DPE"
"110",65.5,11.7067833,"Inr-DPE"
"111",66.5,10.8783998,"Inr-DPE"
"112",67.5,10.5814314,"Inr-DPE"
"113",68.5,10.7533607,"Inr-DPE"
"114",69.5,11.0972185,"Inr-DPE"
"115",70.5,11.2535162,"Inr-DPE"
"116",71.5,12.0350103,"Inr-DPE"
"117",72.5,11.8787117,"Inr-DPE"
"118",73.5,11.4410753,"Inr-DPE"
"119",74.5,11.9412317,"Inr-DPE"
"120",75.5,11.8318224,"Inr-DPE"
"121",76.5,11.7380428,"Inr-DPE"
"122",77.5,11.5192251,"Inr-DPE"
"123",78.5,11.2535162,"Inr-DPE"
"124",79.5,11.4723358,"Inr-DPE"
"125",80.5,11.4254456,"Inr-DPE"
"126",81.5,12.0819006,"Inr-DPE"
"127",82.5,12.316349,"Inr-DPE"
"128",83.5,12.4101276,"Inr-DPE"
"129",84.5,12.5351667,"Inr-DPE"
"130",85.5,12.1600504,"Inr-DPE"
"131",86.5,11.394186,"Inr-DPE"
"132",87.5,11.331666,"Inr-DPE"
"133",88.5,11.4098158,"Inr-DPE"
"134",89.5,11.5661144,"Inr-DPE"
"135",90.5,12.5976858,"Inr-DPE"
"136",91.5,12.0193806,"Inr-DPE"
"137",92.5,11.4567051,"Inr-DPE"
"138",93.5,11.0346985,"Inr-DPE"
"139",94.5,11.2066269,"Inr-DPE"
"140",95.5,10.9252892,"Inr-DPE"
"141",96.5,11.0190678,"Inr-DPE"
"142",97.5,11.7067833,"Inr-DPE"
"143",98.5,11.8005629,"Inr-DPE"
"144",99.5,12.0662708,"Inr-DPE"
"145",100.5,11.9568615,"Inr-DPE"
"146",101.5,11.6130037,"Inr-DPE"
"147",102.5,10.9721785,"Inr-DPE"
"148",103.5,10.9409189,"Inr-DPE"
"149",104.5,10.9409189,"Inr-DPE"
"150",105.5,11.5348549,"Inr-DPE"
"151",106.5,11.5504847,"Inr-DPE"
"152",107.5,11.8161926,"Inr-DPE"
"153",108.5,11.3785553,"Inr-DPE"
"154",109.5,11.8474522,"Inr-DPE"
"155",110.5,12.0662708,"Inr-DPE"
"156",111.5,11.7380428,"Inr-DPE"
"157",112.5,11.659893,"Inr-DPE"
"158",113.5,12.1913099,"Inr-DPE"
"159",114.5,11.8005629,"Inr-DPE"
"160",115.5,12.0506401,"Inr-DPE"
"161",116.5,11.2847767,"Inr-DPE"
"162",117.5,11.2378864,"Inr-DPE"
"163",118.5,11.0503283,"Inr-DPE"
"164",119.5,11.2066269,"Inr-DPE"
"165",120.5,11.597374,"Inr-DPE"
"166",121.5,11.8005629,"Inr-DPE"
"167",122.5,11.7849331,"Inr-DPE"
"168",123.5,11.9724913,"Inr-DPE"
"169",124.5,11.9412317,"Inr-DPE"
"170",125.5,12.0506401,"Inr-DPE"
"171",126.5,11.2847767,"Inr-DPE"
"172",127.5,11.0503283,"Inr-DPE"
"173",128.5,10.5814314,"Inr-DPE"
"174",129.5,10.8940296,"Inr-DPE"
"175",130.5,11.0190678,"Inr-DPE"
"176",131.5,11.3472958,"Inr-DPE"
"177",132.5,11.0503283,"Inr-DPE"
"178",133.5,10.7064705,"Inr-DPE"
"179",134.5,11.394186,"Inr-DPE"
"180",135.5,11.4098158,"Inr-DPE"
"181",136.5,11.6286335,"Inr-DPE"
"182",137.5,12.0037508,"Inr-DPE"
"183",138.5,11.2535162,"Inr-DPE"
"184",139.5,11.0503283,"Inr-DPE"
"185",140.5,10.6126909,"Inr-DPE"
"186",141.5,11.0972185,"Inr-DPE"
"187",142.5,11.1128483,"Inr-DPE"
"188",143.5,11.1597376,"Inr-DPE"
"189",144.5,11.3004065,"Inr-DPE"
"190",145.5,12.0662708,"Inr-DPE"
"191",146.5,12.2381992,"Inr-DPE"
"192",147.5,11.9412317,"Inr-DPE"
"193",148.5,12.7227259,"Inr-DPE"
"194",149.5,12.2694588,"Inr-DPE"
"195",150.5,11.7536736,"Inr-DPE"
"196",151.5,11.3004065,"Inr-DPE"
"197",152.5,11.4723358,"Inr-DPE"
"198",153.5,12.1444206,"Inr-DPE"
"199",154.5,12.9728031,"Inr-DPE"
"200",155.5,12.7383556,"Inr-DPE"
"201",156.5,12.4570179,"Inr-DPE"
"202",157.5,12.0975304,"Inr-DPE"
"203",158.5,12.4882774,"Inr-DPE"
"204",159.5,12.0662708,"Inr-DPE"
"205",160.5,11.7849331,"Inr-DPE"
"206",161.5,11.7536736,"Inr-DPE"
"207",162.5,11.4254456,"Inr-DPE"
"208",163.5,11.394186,"Inr-DPE"
"209",164.5,11.4254456,"Inr-DPE"
"210",165.5,11.7536736,"Inr-DPE"
"211",166.5,12.2381992,"Inr-DPE"
"212",167.5,12.8008757,"Inr-DPE"
"213",168.5,12.8633947,"Inr-DPE"
"214",169.5,12.1600504,"Inr-DPE"
"215",170.5,12.1913099,"Inr-DPE"
"216",171.5,11.925602,"Inr-DPE"
"217",172.5,11.4098158,"Inr-DPE"
"218",173.5,11.1909971,"Inr-DPE"
"219",174.5,11.8943424,"Inr-DPE"
"220",175.5,12.5039072,"Inr-DPE"
"221",176.5,12.5507965,"Inr-DPE"
"222",177.5,12.1287909,"Inr-DPE"
"223",178.5,12.253829,"Inr-DPE"
"224",179.5,12.4570179,"Inr-DPE"
"225",180.5,11.7849331,"Inr-DPE"
"226",181.5,11.5661144,"Inr-DPE"
"227",182.5,11.9568615,"Inr-DPE"
"228",183.5,12.0662708,"Inr-DPE"
"229",184.5,12.6758366,"Inr-DPE"
"230",185.5,11.9568615,"Inr-DPE"
"231",186.5,11.9568615,"Inr-DPE"
"232",187.5,11.5035954,"Inr-DPE"
"233",188.5,11.8161926,"Inr-DPE"
"234",189.5,12.2694588,"Inr-DPE"
"235",190.5,12.0506401,"Inr-DPE"
"236",191.5,12.0506401,"Inr-DPE"
"237",192.5,11.9568615,"Inr-DPE"
"238",193.5,11.7849331,"Inr-DPE"
"239",194.5,11.8318224,"Inr-DPE"
"240",195.5,11.7224131,"Inr-DPE"
"241",196.5,11.7380428,"Inr-DPE"
"242",197.5,11.7536736,"Inr-DPE"
"243",198.5,11.7067833,"Inr-DPE"
"244",199.5,11.3785553,"Inr-DPE"
"245",200.5,11.6286335,"Inr-DPE"
"246",201.5,11.9568615,"Inr-DPE"
"247",202.5,11.8474522,"Inr-DPE"
"248",203.5,12.1444206,"Inr-DPE"
"249",204.5,12.4257584,"Inr-DPE"
"250",205.5,11.9568615,"Inr-DPE"
"251",206.5,12.0975304,"Inr-DPE"
"252",207.5,11.7693033,"Inr-DPE"
"253",208.5,11.6286335,"Inr-DPE"
"254",209.5,11.6911535,"Inr-DPE"
"255",210.5,11.394186,"Inr-DPE"
"256",211.5,11.2378864,"Inr-DPE"
"257",212.5,11.3785553,"Inr-DPE"
"258",213.5,11.5504847,"Inr-DPE"
"259",214.5,12.1444206,"Inr-DPE"
"260",215.5,12.0506401,"Inr-DPE"
"261",216.5,11.8005629,"Inr-DPE"
"262",217.5,11.5817442,"Inr-DPE"
"263",218.5,11.6130037,"Inr-DPE"
"264",219.5,11.2847767,"Inr-DPE"
"265",220.5,11.3785553,"Inr-DPE"
"266",221.5,11.1128483,"Inr-DPE"
"267",222.5,11.4723358,"Inr-DPE"
"268",223.5,11.4410753,"Inr-DPE"
"269",224.5,11.5348549,"Inr-DPE"
"270",225.5,11.8318224,"Inr-DPE"
"271",226.5,11.8161926,"Inr-DPE"
"272",227.5,11.8630819,"Inr-DPE"
"273",228.5,11.6130037,"Inr-DPE"
"274",229.5,11.1597376,"Inr-DPE"
"275",230.5,11.5035954,"Inr-DPE"
"276",231.5,12.2850885,"Inr-DPE"
"277",232.5,12.1756802,"Inr-DPE"
"278",233.5,11.6911535,"Inr-DPE"
"279",234.5,11.2847767,"Inr-DPE"
"280",235.5,11.331666,"Inr-DPE"
"281",236.5,10.9565487,"Inr-DPE"
"282",237.5,10.9565487,"Inr-DPE"
"283",238.5,11.2847767,"Inr-DPE"
"284",239.5,11.8161926,"Inr-DPE"
"285",240.5,12.1600504,"Inr-DPE"
"286",241.5,12.4413881,"Inr-DPE"
"287",242.5,12.3944979,"Inr-DPE"
"288",243.5,12.1444206,"Inr-DPE"
"289",244.5,11.2066269,"Inr-DPE"
"290",-43.5,13.3506994,"TATA-box"
"291",-42.5,12.6668844,"TATA-box"
"292",-41.5,12.7971354,"TATA-box"
"293",-40.5,14.132205,"TATA-box"
"294",-39.5,14.6857691,"TATA-box"
"295",-38.5,13.3506994,"TATA-box"
"296",-37.5,12.4389448,"TATA-box"
"297",-36.5,10.7782478,"TATA-box"
"298",-35.5,6.67534971,"TATA-box"
"299",-34.5,4.00520992,"TATA-box"
"300",-33.5,2.18169975,"TATA-box"
"301",-32.5,2.80039072,"TATA-box"
"302",-31.5,5.66590691,"TATA-box"
"303",-30.5,10.7782478,"TATA-box"
"304",-29.5,15.7603378,"TATA-box"
"305",-28.5,17.7466621,"TATA-box"
"306",-27.5,15.5975256,"TATA-box"
"307",-26.5,11.3318138,"TATA-box"
"308",-25.5,6.83816385,"TATA-box"
"309",-24.5,4.00520992,"TATA-box"
"310",-23.5,2.76782799,"TATA-box"
"311",-22.5,3.77727103,"TATA-box"
"312",-21.5,5.56821918,"TATA-box"
"313",-20.5,7.84760618,"TATA-box"
"314",-19.5,10.0293064,"TATA-box"
"315",-18.5,12.8948231,"TATA-box"
"316",-17.5,15.9882765,"TATA-box"
"317",-16.5,17.1279716,"TATA-box"
"318",-15.5,16.3139038,"TATA-box"
"319",-14.5,14.2950172,"TATA-box"
"320",-13.5,12.7320099,"TATA-box"
"321",-12.5,11.9505043,"TATA-box"
"322",-11.5,10.9736242,"TATA-box"
"323",-10.5,11.9505043,"TATA-box"
"324",-9.5,13.3506994,"TATA-box"
"325",-8.5,15.0113974,"TATA-box"
"326",-7.5,15.5324001,"TATA-box"
"327",-6.5,15.0765228,"TATA-box"
"328",-5.5,12.6994457,"TATA-box"
"329",-4.5,9.63855362,"TATA-box"
"330",-3.5,7.65223074,"TATA-box"
"331",-2.5,6.05665874,"TATA-box"
"332",-1.5,6.80560112,"TATA-box"
"333",-0.5,6.83816385,"TATA-box"
"334",0.5,8.2383585,"TATA-box"
"335",1.5,9.15011406,"TATA-box"
"336",2.5,7.88016891,"TATA-box"
"337",3.5,8.43373489,"TATA-box"
"338",4.5,8.14067078,"TATA-box"
"339",5.5,6.90328836,"TATA-box"
"340",6.5,7.35916662,"TATA-box"
"341",7.5,8.46629715,"TATA-box"
"342",8.5,8.75936127,"TATA-box"
"343",9.5,8.40117264,"TATA-box"
"344",10.5,9.01986313,"TATA-box"
"345",11.5,10.0618687,"TATA-box"
"346",12.5,11.4295025,"TATA-box"
"347",13.5,10.5828714,"TATA-box"
"348",14.5,10.1269941,"TATA-box"
"349",15.5,9.08498859,"TATA-box"
"350",16.5,9.21523952,"TATA-box"
"351",17.5,10.7456856,"TATA-box"
"352",18.5,11.2015629,"TATA-box"
"353",19.5,11.071312,"TATA-box"
"354",20.5,10.1921196,"TATA-box"
"355",21.5,8.92217541,"TATA-box"
"356",22.5,9.9967432,"TATA-box"
"357",23.5,10.2898073,"TATA-box"
"358",24.5,10.387496,"TATA-box"
"359",25.5,10.7782478,"TATA-box"
"360",26.5,9.96418095,"TATA-box"
"361",27.5,10.4200583,"TATA-box"
"362",28.5,10.0293064,"TATA-box"
"363",29.5,10.810811,"TATA-box"
"364",30.5,10.8759356,"TATA-box"
"365",31.5,9.08498859,"TATA-box"
"366",32.5,9.01986313,"TATA-box"
"367",33.5,9.24780178,"TATA-box"
"368",34.5,9.15011406,"TATA-box"
"369",35.5,10.5177469,"TATA-box"
"370",36.5,10.941061,"TATA-box"
"371",37.5,11.1038752,"TATA-box"
"372",38.5,11.0061865,"TATA-box"
"373",39.5,10.9084988,"TATA-box"
"374",40.5,11.4295025,"TATA-box"
"375",41.5,11.1689997,"TATA-box"
"376",42.5,11.2992506,"TATA-box"
"377",43.5,10.9736242,"TATA-box"
"378",44.5,11.4620647,"TATA-box"
"379",45.5,10.6154346,"TATA-box"
"380",46.5,10.1595573,"TATA-box"
"381",47.5,10.2898073,"TATA-box"
"382",48.5,10.8433743,"TATA-box"
"383",49.5,11.3643761,"TATA-box"
"384",50.5,11.4620647,"TATA-box"
"385",51.5,11.5271893,"TATA-box"
"386",52.5,11.8528166,"TATA-box"
"387",53.5,11.5597525,"TATA-box"
"388",54.5,11.6900034,"TATA-box"
"389",55.5,11.6574402,"TATA-box"
"390",56.5,11.2992506,"TATA-box"
"391",57.5,10.8433743,"TATA-box"
"392",58.5,10.5503101,"TATA-box"
"393",59.5,11.071312,"TATA-box"
"394",60.5,11.1689997,"TATA-box"
"395",61.5,11.3318138,"TATA-box"
"396",62.5,10.8759356,"TATA-box"
"397",63.5,10.7782478,"TATA-box"
"398",64.5,11.7551289,"TATA-box"
"399",65.5,11.8528166,"TATA-box"
"400",66.5,11.7225666,"TATA-box"
"401",67.5,11.0387497,"TATA-box"
"402",68.5,10.0944319,"TATA-box"
"403",69.5,9.50830364,"TATA-box"
"404",70.5,9.83393002,"TATA-box"
"405",71.5,11.2341251,"TATA-box"
"406",72.5,12.4389448,"TATA-box"
"407",73.5,12.8622589,"TATA-box"
"408",74.5,11.8202534,"TATA-box"
"409",75.5,12.3086948,"TATA-box"
"410",76.5,11.8528166,"TATA-box"
"411",77.5,12.178443,"TATA-box"
"412",78.5,11.7551289,"TATA-box"
"413",79.5,11.6248779,"TATA-box"
"414",80.5,11.5597525,"TATA-box"
"415",81.5,12.1458807,"TATA-box"
"416",82.5,11.2992506,"TATA-box"
"417",83.5,11.0061865,"TATA-box"
"418",84.5,11.6248779,"TATA-box"
"419",85.5,12.601759,"TATA-box"
"420",86.5,12.7645712,"TATA-box"
"421",87.5,12.2435684,"TATA-box"
"422",88.5,12.048193,"TATA-box"
"423",89.5,11.8528166,"TATA-box"
"424",90.5,11.6574402,"TATA-box"
"425",91.5,11.8853788,"TATA-box"
"426",92.5,12.178443,"TATA-box"
"427",93.5,11.9830675,"TATA-box"
"428",94.5,11.1689997,"TATA-box"
"429",95.5,10.9084988,"TATA-box"
"430",96.5,11.7225666,"TATA-box"
"431",97.5,11.9830675,"TATA-box"
"432",98.5,11.4295025,"TATA-box"
"433",99.5,11.494627,"TATA-box"
"434",100.5,11.7876911,"TATA-box"
"435",101.5,11.5923147,"TATA-box"
"436",102.5,11.3643761,"TATA-box"
"437",103.5,11.8202534,"TATA-box"
"438",104.5,10.8433743,"TATA-box"
"439",105.5,10.8759356,"TATA-box"
"440",106.5,11.8202534,"TATA-box"
"441",107.5,11.7551289,"TATA-box"
"442",108.5,12.4063816,"TATA-box"
"443",109.5,12.178443,"TATA-box"
"444",110.5,11.7225666,"TATA-box"
"445",111.5,10.1269941,"TATA-box"
"446",112.5,10.8433743,"TATA-box"
"447",113.5,12.2761316,"TATA-box"
"448",114.5,12.2110062,"TATA-box"
"449",115.5,12.7320099,"TATA-box"
"450",116.5,11.6574402,"TATA-box"
"451",117.5,11.3318138,"TATA-box"
"452",118.5,10.8433743,"TATA-box"
"453",119.5,11.3318138,"TATA-box"
"454",120.5,11.4295025,"TATA-box"
"455",121.5,12.0156307,"TATA-box"
"456",122.5,10.8433743,"TATA-box"
"457",123.5,11.1689997,"TATA-box"
"458",124.5,11.071312,"TATA-box"
"459",125.5,11.7225666,"TATA-box"
"460",126.5,11.4295025,"TATA-box"
"461",127.5,11.2666883,"TATA-box"
"462",128.5,11.3969393,"TATA-box"
"463",129.5,10.941061,"TATA-box"
"464",130.5,11.2666883,"TATA-box"
"465",131.5,12.048193,"TATA-box"
"466",132.5,11.4295025,"TATA-box"
"467",133.5,11.7225666,"TATA-box"
"468",134.5,11.6900034,"TATA-box"
"469",135.5,11.5271893,"TATA-box"
"470",136.5,11.5923147,"TATA-box"
"471",137.5,11.6900034,"TATA-box"
"472",138.5,11.9505043,"TATA-box"
"473",139.5,12.7320099,"TATA-box"
"474",140.5,12.0156307,"TATA-box"
"475",141.5,11.6248779,"TATA-box"
"476",142.5,11.7551289,"TATA-box"
"477",143.5,11.1038752,"TATA-box"
"478",144.5,11.6248779,"TATA-box"
"479",145.5,11.3969393,"TATA-box"
"480",146.5,11.917942,"TATA-box"
"481",147.5,12.5691948,"TATA-box"
"482",148.5,12.7320099,"TATA-box"
"483",149.5,12.5366325,"TATA-box"
"484",150.5,11.7225666,"TATA-box"
"485",151.5,11.7551289,"TATA-box"
"486",152.5,12.3086948,"TATA-box"
"487",153.5,12.2110062,"TATA-box"
"488",154.5,12.4063816,"TATA-box"
"489",155.5,11.9830675,"TATA-box"
"490",156.5,12.3412571,"TATA-box"
"491",157.5,11.7225666,"TATA-box"
"492",158.5,11.0387497,"TATA-box"
"493",159.5,11.7225666,"TATA-box"
"494",160.5,12.4063816,"TATA-box"
"495",161.5,12.3086948,"TATA-box"
"496",162.5,11.7551289,"TATA-box"
"497",163.5,12.0807552,"TATA-box"
"498",164.5,11.5271893,"TATA-box"
"499",165.5,11.6248779,"TATA-box"
"500",166.5,11.7551289,"TATA-box"
"501",167.5,12.601759,"TATA-box"
"502",168.5,12.4389448,"TATA-box"
"503",169.5,12.0807552,"TATA-box"
"504",170.5,12.7320099,"TATA-box"
"505",171.5,12.8296967,"TATA-box"
"506",172.5,12.4063816,"TATA-box"
"507",173.5,12.2110062,"TATA-box"
"508",174.5,12.3086948,"TATA-box"
"509",175.5,12.4063816,"TATA-box"
"510",176.5,12.5691948,"TATA-box"
"511",177.5,12.7320099,"TATA-box"
"512",178.5,13.025074,"TATA-box"
"513",179.5,12.9925098,"TATA-box"
"514",180.5,12.3412571,"TATA-box"
"515",181.5,12.2761316,"TATA-box"
"516",182.5,12.5366325,"TATA-box"
"517",183.5,12.048193,"TATA-box"
"518",184.5,12.2110062,"TATA-box"
"519",185.5,11.6900034,"TATA-box"
"520",186.5,12.1133175,"TATA-box"
"521",187.5,12.178443,"TATA-box"
"522",188.5,11.7225666,"TATA-box"
"523",189.5,12.5691948,"TATA-box"
"524",190.5,11.5271893,"TATA-box"
"525",191.5,11.4295025,"TATA-box"
"526",192.5,12.7320099,"TATA-box"
"527",193.5,13.0901995,"TATA-box"
"528",194.5,12.6994457,"TATA-box"
"529",195.5,11.8202534,"TATA-box"
"530",196.5,12.0156307,"TATA-box"
"531",197.5,12.9599485,"TATA-box"
"532",198.5,12.5366325,"TATA-box"
"533",199.5,12.3412571,"TATA-box"
"534",200.5,11.8202534,"TATA-box"
"535",201.5,11.5271893,"TATA-box"
"536",202.5,11.1689997,"TATA-box"
"537",203.5,11.1038752,"TATA-box"
"538",204.5,11.5271893,"TATA-box"
"539",205.5,12.601759,"TATA-box"
"540",206.5,13.2204485,"TATA-box"
"541",207.5,13.5786381,"TATA-box"
"542",208.5,13.025074,"TATA-box"
"543",209.5,11.8853788,"TATA-box"
"544",210.5,11.6900034,"TATA-box"
"545",211.5,12.4389448,"TATA-box"
"546",212.5,12.7320099,"TATA-box"
"547",213.5,12.4715071,"TATA-box"
"548",214.5,12.5040712,"TATA-box"
"549",215.5,12.9273844,"TATA-box"
"550",216.5,12.4715071,"TATA-box"
"551",217.5,12.178443,"TATA-box"
"552",218.5,11.8202534,"TATA-box"
"553",219.5,12.2761316,"TATA-box"
"554",220.5,12.0807552,"TATA-box"
"555",221.5,12.1458807,"TATA-box"
"556",222.5,11.5597525,"TATA-box"
"557",223.5,11.917942,"TATA-box"
"558",224.5,12.0807552,"TATA-box"
"559",225.5,12.2761316,"TATA-box"
"560",226.5,11.9505043,"TATA-box"
"561",227.5,12.3412571,"TATA-box"
"562",228.5,11.494627,"TATA-box"
"563",229.5,11.6574402,"TATA-box"
"564",230.5,11.7551289,"TATA-box"
"565",231.5,12.5366325,"TATA-box"
"566",232.5,12.5366325,"TATA-box"
"567",233.5,12.601759,"TATA-box"
"568",234.5,12.0807552,"TATA-box"
"569",235.5,11.917942,"TATA-box"
"570",236.5,11.8202534,"TATA-box"
"571",237.5,11.6574402,"TATA-box"
"572",238.5,11.7225666,"TATA-box"
"573",239.5,11.5271893,"TATA-box"
"574",240.5,12.7645712,"TATA-box"
"575",241.5,13.155323,"TATA-box"
"576",242.5,13.6437635,"TATA-box"
"577",243.5,12.7320099,"TATA-box"
"578",244.5,11.7225666,"TATA-box"
"579",-43.5,11.5093622,"Inr"
"580",-42.5,11.0365047,"Inr"
"581",-41.5,11.4431629,"Inr"
"582",-40.5,11.8309059,"Inr"
"583",-39.5,11.4620771,"Inr"
"584",-38.5,11.7836199,"Inr"
"585",-37.5,12.3794212,"Inr"
"586",-36.5,12.795536,"Inr"
"587",-35.5,11.6890478,"Inr"
"588",-34.5,10.5163612,"Inr"
"589",-33.5,9.61793041,"Inr"
"590",-32.5,8.82352924,"Inr"
"591",-31.5,9.00321484,"Inr"
"592",-30.5,10.0056744,"Inr"
"593",-29.5,11.9633064,"Inr"
"594",-28.5,13.6088524,"Inr"
"595",-27.5,13.9020233,"Inr"
"596",-26.5,12.8711939,"Inr"
"597",-25.5,11.1878195,"Inr"
"598",-24.5,10.3555899,"Inr"
"599",-23.5,9.85435963,"Inr"
"600",-22.5,9.47607327,"Inr"
"601",-21.5,9.61793041,"Inr"
"602",-20.5,9.8354454,"Inr"
"603",-19.5,10.9419327,"Inr"
"604",-18.5,11.8876486,"Inr"
"605",-17.5,12.7766218,"Inr"
"606",-16.5,13.7317953,"Inr"
"607",-15.5,13.8831091,"Inr"
"608",-14.5,12.6158504,"Inr"
"609",-13.5,11.2634764,"Inr"
"610",-12.5,10.4217892,"Inr"
"611",-11.5,9.71250248,"Inr"
"612",-10.5,10.1286173,"Inr"
"613",-9.5,11.5755625,"Inr"
"614",-8.5,14.3370523,"Inr"
"615",-7.5,16.0960846,"Inr"
"616",-6.5,16.0204277,"Inr"
"617",-5.5,13.1076231,"Inr"
"618",-4.5,8.37904263,"Inr"
"619",-3.5,6.59163952,"Inr"
"620",-2.5,4.97446585,"Inr"
"621",-1.5,5.82561016,"Inr"
"622",-0.5,7.35766983,"Inr"
"623",0.5,10.5352755,"Inr"
"624",1.5,11.4715338,"Inr"
"625",2.5,10.1569891,"Inr"
"626",3.5,9.25855827,"Inr"
"627",4.5,7.55627012,"Inr"
"628",5.5,6.95101166,"Inr"
"629",6.5,7.84944201,"Inr"
"630",7.5,8.56818676,"Inr"
"631",8.5,8.9937582,"Inr"
"632",9.5,9.44770241,"Inr"
"633",10.5,9.64630222,"Inr"
"634",11.5,9.75978851,"Inr"
"635",12.5,9.88273144,"Inr"
"636",13.5,9.29638767,"Inr"
"637",14.5,8.90864372,"Inr"
"638",15.5,8.53981495,"Inr"
"639",16.5,9.1356163,"Inr"
